id,id_Key,Date_Proc,Lat_DNB,Lon_DNB,Rad_DNB,Date_Mscan,Date_LTZ,Line_DNB,Sample_DNB,Rad_I04,QF_Detect,QF_Bitflag,SMI,Thr_SMI,SI,Thr_SI,SHI,Thr_SHI,LI,Thr_LI,Glint,Thr_Gl_SMI,Xcorr,Land_Mask,EEZ,FMZ,MPA,File_DNB,File_GDNB,File_I04,File_VNF,File_EEZ,File_FMZ,File_MPA,File_FLM,File_LSM,File_LTZ,File_RLP,Dist_RLP,File_RLV,Lat_Gring,Lon_Gring,Gran_List,SOLZ_GDNBO,SOLA_GDNBO,SATZ_GDNBO,SATA_GDNBO,LUNZ_GDNBO,LUNA_GDNBO
1,VBD_npp_d20200309_t1632184_x1202793E_y057197N_l0463_s0050_v23,2020-06-24 19:15:00,5.719725,120.279343,68.5513,2020-03-09 16:32:18,2020-03-10 00:32:18,463,50,0.35035,1,2529,1.01912,0.337447,0.883005,0.4,0.952803,0.75,0.265913,0.0001,1.03809e-05,999999,2.552873e-01,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20200309_t1631283_e1632524_b43347_c20200309175433602260_nobc_ops.h5,GDNBO_npp_d20200309_t1631283_e1632524_b43347_c20200309175433597003_nobc_ops.h5,SVI04_npp_d20200309_t1631283_e1632524_b43347_c20200309175437729562_nobc_ops.dspace_rad,VNFF_npp_d20200309_t1631283_e1632524_b43347_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,8.715905;6.783480;4.485166;-0.386200;1.767426;3.824942,120.525475;134.328003;147.911545;146.759171;133.208038;119.519516,npp_d20200309_t1627120_e1628362_b43347;npp_d20200309_t1628374_e1630016_b43347;npp_d20200309_t1630029_e1631270_b43347;npp_d20200309_t1631283_e1632524_b43347,174.043,74.7807,69.446,97.435,5.59076,-54.9821
2,VBD_npp_d20200309_t1632201_x1202739E_y057056N_l0466_s0051_v23,2020-06-24 19:15:00,5.705599,120.273895,58.6005,2020-03-09 16:32:20,2020-03-10 00:32:20,466,51,0.353195,8,18913,0.979301,0.407669,0.883316,0.4,0.94894,0.75,0.2659,0.0001,1.05006e-05,999999,3.201677e-03,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20200309_t1631283_e1632524_b43347_c20200309175433602260_nobc_ops.h5,GDNBO_npp_d20200309_t1631283_e1632524_b43347_c20200309175433597003_nobc_ops.h5,SVI04_npp_d20200309_t1631283_e1632524_b43347_c20200309175437729562_nobc_ops.dspace_rad,VNFF_npp_d20200309_t1631283_e1632524_b43347_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,0.815483,VBD_bridges_c20160811.shp,8.715905;6.783480;4.485166;-0.386200;1.767426;3.824942,120.525475;134.328003;147.911545;146.759171;133.208038;119.519516,npp_d20200309_t1627120_e1628362_b43347;npp_d20200309_t1628374_e1630016_b43347;npp_d20200309_t1630029_e1631270_b43347;npp_d20200309_t1631283_e1632524_b43347,174.045,74.9163,69.4372,97.8295,5.60034,-54.8729
3,VBD_npp_d20200309_t1632184_x1205832E_y057000N_l0460_s0094_v23,2020-06-24 19:15:00,5.700016,120.583153,292.363,2020-03-09 16:32:18,2020-03-10 00:32:18,460,94,0.352626,1,2529,1.23165,0.463635,0.905261,0.4,0.90659,0.75,0.265734,0.0001,1.44431e-05,999999,-1.977095e-01,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20200309_t1631283_e1632524_b43347_c20200309175433602260_nobc_ops.h5,GDNBO_npp_d20200309_t1631283_e1632524_b43347_c20200309175433597003_nobc_ops.h5,SVI04_npp_d20200309_t1631283_e1632524_b43347_c20200309175437729562_nobc_ops.dspace_rad,VNFF_npp_d20200309_t1631283_e1632524_b43347_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,8.715905;6.783480;4.485166;-0.386200;1.767426;3.824942,120.525475;134.328003;147.911545;146.759171;133.208038;119.519516,npp_d20200309_t1627120_e1628362_b43347;npp_d20200309_t1628374_e1630016_b43347;npp_d20200309_t1630029_e1631270_b43347;npp_d20200309_t1631283_e1632524_b43347,173.756,75.7096,68.7572,97.55,5.85647,-56.5151
4,VBD_npp_d20200309_t1632184_x1205893E_y056924N_l0461_s0095_v23,2020-06-24 19:15:00,5.692378,120.589256,418.78,2020-03-09 16:32:18,2020-03-10 00:32:18,461,95,0.358601,1,2529,1.59143,0.458114,0.92445,0.4,0.979001,0.75,0.265727,0.0001,1.45418e-05,999999,-1.778903e-01,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20200309_t1631283_e1632524_b43347_c20200309175433602260_nobc_ops.h5,GDNBO_npp_d20200309_t1631283_e1632524_b43347_c20200309175433597003_nobc_ops.h5,SVI04_npp_d20200309_t1631283_e1632524_b43347_c20200309175437729562_nobc_ops.dspace_rad,VNFF_npp_d20200309_t1631283_e1632524_b43347_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,8.715905;6.783480;4.485166;-0.386200;1.767426;3.824942,120.525475;134.328003;147.911545;146.759171;133.208038;119.519516,npp_d20200309_t1627120_e1628362_b43347;npp_d20200309_t1628374_e1630016_b43347;npp_d20200309_t1630029_e1631270_b43347;npp_d20200309_t1631283_e1632524_b43347,173.752,75.7915,68.741,97.5219,5.86593,-56.4845
5,VBD_npp_d20200309_t1632184_x1206052E_y057030N_l0459_s0097_v23,2020-06-24 19:15:00,5.703036,120.605202,505.568,2020-03-09 16:32:18,2020-03-10 00:32:18,459,97,0.349211,1,2529,1.71384,0.432338,0.92445,0.4,0.987373,0.75,0.265724,0.0001,1.47893e-05,999999,-8.535682e-02,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20200309_t1631283_e1632524_b43347_c20200309175433602260_nobc_ops.h5,GDNBO_npp_d20200309_t1631283_e1632524_b43347_c20200309175433597003_nobc_ops.h5,SVI04_npp_d20200309_t1631283_e1632524_b43347_c20200309175437729562_nobc_ops.dspace_rad,VNFF_npp_d20200309_t1631283_e1632524_b43347_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,8.715905;6.783480;4.485166;-0.386200;1.767426;3.824942,120.525475;134.328003;147.911545;146.759171;133.208038;119.519516,npp_d20200309_t1627120_e1628362_b43347;npp_d20200309_t1628374_e1630016_b43347;npp_d20200309_t1630029_e1631270_b43347;npp_d20200309_t1631283_e1632524_b43347,173.734,75.7345,68.7078,97.5773,5.87343,-56.6577
6,VBD_npp_d20200309_t1632184_x1206223E_y056722N_l0463_s0100_v23,2020-06-24 19:15:00,5.672169,120.622261,200.552,2020-03-09 16:32:18,2020-03-10 00:32:18,463,100,0.359881,1,2529,1.34259,0.369788,0.925197,0.4,0.803302,0.75,0.2657,0.0001,1.50767e-05,999999,1.391882e-01,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20200309_t1631283_e1632524_b43347_c20200309175433602260_nobc_ops.h5,GDNBO_npp_d20200309_t1631283_e1632524_b43347_c20200309175433597003_nobc_ops.h5,SVI04_npp_d20200309_t1631283_e1632524_b43347_c20200309175437729562_nobc_ops.dspace_rad,VNFF_npp_d20200309_t1631283_e1632524_b43347_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,8.715905;6.783480;4.485166;-0.386200;1.767426;3.824942,120.525475;134.328003;147.911545;146.759171;133.208038;119.519516,npp_d20200309_t1627120_e1628362_b43347;npp_d20200309_t1628374_e1630016_b43347;npp_d20200309_t1630029_e1631270_b43347;npp_d20200309_t1631283_e1632524_b43347,173.725,76.0463,68.6595,97.4584,5.90516,-56.4939
7,VBD_npp_d20200309_t1632201_x1206185E_y056674N_l0465_s0101_v23,2020-06-24 19:15:00,5.667389,120.618546,439.597,2020-03-09 16:32:20,2020-03-10 00:32:20,465,101,0.355329,1,2529,1.7415,0.374218,0.925197,0.4,0.991004,0.75,0.26569,0.0001,1.52738e-05,999999,1.232853e-01,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20200309_t1631283_e1632524_b43347_c20200309175433602260_nobc_ops.h5,GDNBO_npp_d20200309_t1631283_e1632524_b43347_c20200309175433597003_nobc_ops.h5,SVI04_npp_d20200309_t1631283_e1632524_b43347_c20200309175437729562_nobc_ops.dspace_rad,VNFF_npp_d20200309_t1631283_e1632524_b43347_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,8.715905;6.783480;4.485166;-0.386200;1.767426;3.824942,120.525475;134.328003;147.911545;146.759171;133.208038;119.519516,npp_d20200309_t1627120_e1628362_b43347;npp_d20200309_t1628374_e1630016_b43347;npp_d20200309_t1630029_e1631270_b43347;npp_d20200309_t1631283_e1632524_b43347,173.723,76.0967,68.6494,97.9036,5.91068,-56.474
8,VBD_npp_d20200309_t1632184_x1206434E_y057193N_l0456_s0102_v23,2020-06-24 19:15:00,5.719331,120.643394,240.053,2020-03-09 16:32:18,2020-03-10 00:32:18,456,102,0.359028,1,2529,1.42927,0.356899,0.923526,0.4,0.957537,0.75,0.265711,0.0001,1.54017e-05,999999,1.854563e-01,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20200309_t1631283_e1632524_b43347_c20200309175433602260_nobc_ops.h5,GDNBO_npp_d20200309_t1631283_e1632524_b43347_c20200309175433597003_nobc_ops.h5,SVI04_npp_d20200309_t1631283_e1632524_b43347_c20200309175437729562_nobc_ops.dspace_rad,VNFF_npp_d20200309_t1631283_e1632524_b43347_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,8.715905;6.783480;4.485166;-0.386200;1.767426;3.824942,120.525475;134.328003;147.911545;146.759171;133.208038;119.519516,npp_d20200309_t1627120_e1628362_b43347;npp_d20200309_t1628374_e1630016_b43347;npp_d20200309_t1630029_e1631270_b43347;npp_d20200309_t1631283_e1632524_b43347,173.693,75.6801,68.6255,97.6715,5.89674,-56.994
9,VBD_npp_d20200309_t1632184_x1206503E_y056685N_l0463_s0104_v23,2020-06-24 19:15:00,5.668451,120.650307,391.443,2020-03-09 16:32:18,2020-03-10 00:32:18,463,104,0.354546,1,2529,1.74342,0.381456,0.918795,0.4,0.990089,0.75,0.265681,0.0001,1.55404e-05,999999,9.730010e-02,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20200309_t1631283_e1632524_b43347_c20200309175433602260_nobc_ops.h5,GDNBO_npp_d20200309_t1631283_e1632524_b43347_c20200309175433597003_nobc_ops.h5,SVI04_npp_d20200309_t1631283_e1632524_b43347_c20200309175437729562_nobc_ops.dspace_rad,VNFF_npp_d20200309_t1631283_e1632524_b43347_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,8.715905;6.783480;4.485166;-0.386200;1.767426;3.824942,120.525475;134.328003;147.911545;146.759171;133.208038;119.519516,npp_d20200309_t1627120_e1628362_b43347;npp_d20200309_t1628374_e1630016_b43347;npp_d20200309_t1630029_e1631270_b43347;npp_d20200309_t1631283_e1632524_b43347,173.699,76.1427,68.5941,97.461,5.93096,-56.6119
10,VBD_npp_d20200309_t1632077_x1209399E_y062885N_l0363_s0127_v23,2020-06-24 19:15:00,6.288459,120.939865,23.0781,2020-03-09 16:32:07,2020-03-10 00:32:07,363,127,0.354689,1,2529,0.602277,0.377788,0.773457,0.4,0.880313,0.75,0.265822,0.0001,1.87748e-05,999999,1.104681e-01,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20200309_t1631283_e1632524_b43347_c20200309175433602260_nobc_ops.h5,GDNBO_npp_d20200309_t1631283_e1632524_b43347_c20200309175433597003_nobc_ops.h5,SVI04_npp_d20200309_t1631283_e1632524_b43347_c20200309175437729562_nobc_ops.dspace_rad,VNFF_npp_d20200309_t1631283_e1632524_b43347_v30.csv,eez_v9.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20170721.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,8.715905;6.783480;4.485166;-0.386200;1.767426;3.824942,120.525475;134.328003;147.911545;146.759171;133.208038;119.519516,npp_d20200309_t1627120_e1628362_b43347;npp_d20200309_t1628374_e1630016_b43347;npp_d20200309_t1630029_e1631270_b43347;npp_d20200309_t1631283_e1632524_b43347,173.292,71.5395,68.2208,97.4638,5.83028,-63.102
