id,id_Key,Date_Proc,Lat_DNB,Lon_DNB,Rad_DNB,Date_Mscan,Date_LTZ,Line_DNB,Sample_DNB,Rad_I04,QF_Detect,QF_Bitflag,SMI,Thr_SMI,SI,Thr_SI,SHI,Thr_SHI,LI,Thr_LI,Glint,Thr_Gl_SMI,Xcorr,Land_Mask,EEZ,FMZ,MPA,File_DNB,File_GDNB,File_I04,File_VNF,File_EEZ,File_FMZ,File_MPA,File_FLM,File_LSM,File_LTZ,File_RLP,Dist_RLP,File_RLV,Lat_Gring,Lon_Gring,Gran_List,SOLZ_GDNBO,SOLA_GDNBO,SATZ_GDNBO,SATA_GDNBO,LUNZ_GDNBO,LUNA_GDNBO
8,VBD_npp_d20241115_t1631426_x1225332E_y067138N_l0537_s0324_v23,2024-12-13 14:17:15,6.713810,122.533226,81.6125,2024-11-15 16:31:42,2024-11-16 00:31:42,537,324,0.183405,1,2529,0.65157,0.301734,0.603293,0.4,0.823474,0.75,0.240743,0.0001,0.000838224,999999,3.605908e-03,3,Philippines Exclusive Economic Zone,ARMM,,SVDNB_npp_d20241115_t1630436_e1632078_b67636_c20241115175527490000_oeac_ops.h5,GDNBO_npp_d20241115_t1630436_e1632078_b67636_c20241115175318095000_oeac_ops.h5,SVI04_npp_d20241115_t1630436_e1632078_b67636_c20241115175535489000_oeac_ops.dspace_rad,VNFF_npp_d20241115_t1630436_e1632078_b67636_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,10.428295;8.537829;6.182177;1.316583;3.521569;5.531694,120.972168;134.829727;148.440094;147.251144;133.705383;120.002678,npp_d20241115_t1630436_e1632078_b67636;npp_d20241115_t1632090_e1633332_b67636;npp_d20241115_t1633344_e1634586_b67636;npp_d20241115_t1634598_e1636240_b67636,161.628,132.145,64.7785,97.5679,23.4126,-48.1497
11,VBD_npp_d20241115_t1631319_x1254855E_y069631N_l0439_s0735_v23,2024-12-13 14:17:15,6.963130,125.485504,30.2689,2024-11-15 16:31:31,2024-11-16 00:31:31,439,735,0.3145,2,2465,0.438852,0.368066,0.62087,0.4,0.696003,0.75,0.235625,0.0001,0.00554599,999999,-3.180279e-01,1,Philippines Exclusive Economic Zone,,,SVDNB_npp_d20241115_t1630436_e1632078_b67636_c20241115175527490000_oeac_ops.h5,GDNBO_npp_d20241115_t1630436_e1632078_b67636_c20241115175318095000_oeac_ops.h5,SVI04_npp_d20241115_t1630436_e1632078_b67636_c20241115175535489000_oeac_ops.dspace_rad,VNFF_npp_d20241115_t1630436_e1632078_b67636_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,10.428295;8.537829;6.182177;1.316583;3.521569;5.531694,120.972168;134.829727;148.440094;147.251144;133.705383;120.002678,npp_d20241115_t1630436_e1632078_b67636;npp_d20241115_t1632090_e1633332_b67636;npp_d20241115_t1633344_e1634586_b67636;npp_d20241115_t1634598_e1636240_b67636,159.554,126.735,55.8403,97.8797,25.5104,-52.3762
1,VBD_npp_d20241115_t1633205_x1227124E_y008808N_l0645_s0530_v23,2024-12-13 14:17:15,0.880823,122.712410,20.3387,2024-11-15 16:33:20,2024-11-16 00:33:20,645,530,0.352768,2,2465,0.424697,0.368316,0.503546,0.4,0.698006,0.75,0.229152,0.0001,0.00115707,999999,-3.192420e-01,3,,WPP716,,SVDNB_npp_d20241115_t1632090_e1633332_b67636_c20241115175605519000_oeac_ops.h5,GDNBO_npp_d20241115_t1632090_e1633332_b67636_c20241115175338350000_oeac_ops.h5,SVI04_npp_d20241115_t1632090_e1633332_b67636_c20241115175612912000_oeac_ops.dspace_rad,VNFF_npp_d20241115_t1632090_e1633332_b67636_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,5.534106;3.516063;1.318023;-3.563816;-1.500467;0.652182,119.997002;133.697556;147.245712;146.164642;132.581146;118.926956,npp_d20241115_t1630436_e1632078_b67636;npp_d20241115_t1632090_e1633332_b67636;npp_d20241115_t1633344_e1634586_b67636;npp_d20241115_t1634598_e1636240_b67636,156.953,141.617,60.6716,98.8555,28.0781,-40.3464
2,VBD_npp_d20241115_t1633098_x1245574E_y011946N_l0555_s0782_v23,2024-12-13 14:17:15,1.194615,124.557381,25.4775,2024-11-15 16:33:09,2024-11-16 00:33:09,555,782,0.404907,1,2529,0.485258,0.347005,0.617488,0.4,0.775988,0.75,0.226677,0.0001,0.00379342,999999,-2.159070e-01,1,Indonesian Exclusive Economic Zone,WPP716,,SVDNB_npp_d20241115_t1632090_e1633332_b67636_c20241115175605519000_oeac_ops.h5,GDNBO_npp_d20241115_t1632090_e1633332_b67636_c20241115175338350000_oeac_ops.h5,SVI04_npp_d20241115_t1632090_e1633332_b67636_c20241115175612912000_oeac_ops.dspace_rad,VNFF_npp_d20241115_t1632090_e1633332_b67636_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,5.534106;3.516063;1.318023;-3.563816;-1.500467;0.652182,119.997002;133.697556;147.245712;146.164642;132.581146;118.926956,npp_d20241115_t1630436_e1632078_b67636;npp_d20241115_t1632090_e1633332_b67636;npp_d20241115_t1633344_e1634586_b67636;npp_d20241115_t1634598_e1636240_b67636,156.03,138.021,54.6556,98.5339,29.0604,-43.2252
3,VBD_npp_d20241115_t1632253_x1393427E_y016301N_l0147_s2913_v23,2024-12-13 14:17:15,1.630132,139.342651,18.5971,2024-11-15 16:32:25,2024-11-16 02:32:25,147,2913,0.369768,1,2273,0.520198,0.465866,0.616227,0.4,0.816447,0.75,0.190797,0.0001,7.0312e-10,999999,-2.042042e-01,3,Indonesian Exclusive Economic Zone,WPP717,,SVDNB_npp_d20241115_t1632090_e1633332_b67636_c20241115175605519000_oeac_ops.h5,GDNBO_npp_d20241115_t1632090_e1633332_b67636_c20241115175338350000_oeac_ops.h5,SVI04_npp_d20241115_t1632090_e1633332_b67636_c20241115175612912000_oeac_ops.dspace_rad,VNFF_npp_d20241115_t1632090_e1633332_b67636_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,5.534106;3.516063;1.318023;-3.563816;-1.500467;0.652182,119.997002;133.697556;147.245712;146.164642;132.581146;118.926956,npp_d20241115_t1630436_e1632078_b67636;npp_d20241115_t1632090_e1633332_b67636;npp_d20241115_t1633344_e1634586_b67636;npp_d20241115_t1634598_e1636240_b67636,144.911,121.205,43.2247,-81.3317,40.2869,-57.2691
1,VBD_npp_d20241115_t1634103_x1216799E_y020022S_l0334_s0478_v23,2024-12-13 14:17:15,-2.002184,121.679878,20.5369,2024-11-15 16:34:10,2024-11-16 00:34:10,334,478,0.392744,2,2209,0.408409,0.376897,0.465332,0.4,0.718519,0.75,0.224483,0.0001,0.000541919,999999,1.850516e-02,3,Indonesian Exclusive Economic Zone,WPP714,,SVDNB_npp_d20241115_t1633344_e1634586_b67636_c20241115175550431000_oeac_ops.h5,GDNBO_npp_d20241115_t1633344_e1634586_b67636_c20241115175340863000_oeac_ops.h5,SVI04_npp_d20241115_t1633344_e1634586_b67636_c20241115175558749000_oeac_ops.dspace_rad,VNFF_npp_d20241115_t1633344_e1634586_b67636_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,0.654871;-1.505843;-3.562179;-8.456856;-6.520839;-4.208559,118.920273;132.573196;146.158783;145.179337;131.453308;117.742950,npp_d20241115_t1630436_e1632078_b67636;npp_d20241115_t1632090_e1633332_b67636;npp_d20241115_t1633344_e1634586_b67636;npp_d20241115_t1634598_e1636240_b67636,155.092,146.919,61.7834,99.0582,29.8641,-35.8456
2,VBD_npp_d20241115_t1634139_x1217018E_y021280S_l0353_s0486_v23,2024-12-13 14:17:15,-2.128003,121.701843,30.6621,2024-11-15 16:34:13,2024-11-16 00:34:13,353,486,0.375957,2,2209,0.458315,0.456158,0.552567,0.4,0.555799,0.75,0.224137,0.0001,0.000596943,999999,-2.860402e-01,3,Indonesian Exclusive Economic Zone,WPP714,,SVDNB_npp_d20241115_t1633344_e1634586_b67636_c20241115175550431000_oeac_ops.h5,GDNBO_npp_d20241115_t1633344_e1634586_b67636_c20241115175340863000_oeac_ops.h5,SVI04_npp_d20241115_t1633344_e1634586_b67636_c20241115175558749000_oeac_ops.dspace_rad,VNFF_npp_d20241115_t1633344_e1634586_b67636_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,0.654871;-1.505843;-3.562179;-8.456856;-6.520839;-4.208559,118.920273;132.573196;146.158783;145.179337;131.453308;117.742950,npp_d20241115_t1630436_e1632078_b67636;npp_d20241115_t1632090_e1633332_b67636;npp_d20241115_t1633344_e1634586_b67636;npp_d20241115_t1634598_e1636240_b67636,154.966,146.999,61.6116,99.5771,29.9894,-35.7682
3,VBD_npp_d20241115_t1634477_x1215956E_y041812S_l0663_s0541_v23,2024-12-13 14:17:15,-4.181186,121.595566,36.7775,2024-11-15 16:34:47,2024-11-16 00:34:47,663,541,0.386982,1,2529,0.682981,0.505612,0.642914,0.4,0.870888,0.75,0.218994,0.0001,0.000545391,999999,-4.760580e-01,1,Indonesian Exclusive Economic Zone,WPP713,,SVDNB_npp_d20241115_t1633344_e1634586_b67636_c20241115175550431000_oeac_ops.h5,GDNBO_npp_d20241115_t1633344_e1634586_b67636_c20241115175340863000_oeac_ops.h5,SVI04_npp_d20241115_t1633344_e1634586_b67636_c20241115175558749000_oeac_ops.dspace_rad,VNFF_npp_d20241115_t1633344_e1634586_b67636_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,0.654871;-1.505843;-3.562179;-8.456856;-6.520839;-4.208559,118.920273;132.573196;146.158783;145.179337;131.453308;117.742950,npp_d20241115_t1630436_e1632078_b67636;npp_d20241115_t1632090_e1633332_b67636;npp_d20241115_t1633344_e1634586_b67636;npp_d20241115_t1634598_e1636240_b67636,153.205,149.171,60.4523,99.7161,31.7201,-33.8065
4,VBD_npp_d20241115_t1634583_x1216289E_y047940S_l0754_s0567_v23,2024-12-13 14:17:15,-4.794020,121.628883,63.5237,2024-11-15 16:34:58,2024-11-16 00:34:58,754,567,0.384137,1,2529,0.948079,0.361276,0.745731,0.4,0.912747,0.75,0.218488,0.0001,0.00058288,999999,7.852755e-02,3,Indonesian Exclusive Economic Zone,,,SVDNB_npp_d20241115_t1633344_e1634586_b67636_c20241115175550431000_oeac_ops.h5,GDNBO_npp_d20241115_t1633344_e1634586_b67636_c20241115175340863000_oeac_ops.h5,SVI04_npp_d20241115_t1633344_e1634586_b67636_c20241115175558749000_oeac_ops.dspace_rad,VNFF_npp_d20241115_t1633344_e1634586_b67636_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,0.654871;-1.505843;-3.562179;-8.456856;-6.520839;-4.208559,118.920273;132.573196;146.158783;145.179337;131.453308;117.742950,npp_d20241115_t1630436_e1632078_b67636;npp_d20241115_t1632090_e1633332_b67636;npp_d20241115_t1633344_e1634586_b67636;npp_d20241115_t1634598_e1636240_b67636,152.638,149.645,59.8767,100.017,32.2813,-33.361
5,VBD_npp_d20241115_t1634227_x1222029E_y028430S_l0447_s0580_v23,2024-12-13 14:17:15,-2.843013,122.202866,72.5761,2024-11-15 16:34:22,2024-11-16 00:34:22,447,580,0.389827,7,2465,0.632291,0.51924,0.549519,0.4,0.705345,0.75,0.221384,0.0001,0.000809273,999999,-5.284240e-01,3,,,,SVDNB_npp_d20241115_t1633344_e1634586_b67636_c20241115175550431000_oeac_ops.h5,GDNBO_npp_d20241115_t1633344_e1634586_b67636_c20241115175340863000_oeac_ops.h5,SVI04_npp_d20241115_t1633344_e1634586_b67636_c20241115175558749000_oeac_ops.dspace_rad,VNFF_npp_d20241115_t1633344_e1634586_b67636_v30.csv,eez_v11.shp,WPP_BFAR_merge.shp,vbd_mpa_r20170830.shp,VNF-VBD_npp_20120301-20151231_global_asia-enhanced_c201607211230.bitmask,vbd_landsea_r20220824.mask,timezone.shp,VBD_platforms-recurring_2015_r20170330.shp,999999,VBD_bridges_c20160811.shp,0.654871;-1.505843;-3.562179;-8.456856;-6.520839;-4.208559,118.920273;132.573196;146.158783;145.179337;131.453308;117.742950,npp_d20241115_t1630436_e1632078_b67636;npp_d20241115_t1632090_e1633332_b67636;npp_d20241115_t1633344_e1634586_b67636;npp_d20241115_t1634598_e1636240_b67636,154.074,146.849,59.5771,99.1124,30.8971,-35.8201
