year,wpp,detection_count,rad_mean,log_rad_mean,is_partial_year,coverage_note
2019,WPP717,2187,4.4467,1.695009,0,Full year
2019,WPP718,103573,45.692,3.843572,0,Full year
2020,ARMM,3,0.7991,0.587306,0,Full year
2020,Region XII,4,0.8998,0.641772,0,Full year
2020,Unknown,2337,6.0098,1.947303,0,Full year
2020,WPP571,52747,15.923,2.828674,0,Full year
2020,WPP572,51626,5.6591,1.895982,0,Full year
2020,WPP573,31157,4.8798,1.77153,0,Full year
2020,WPP711,108418,35.8209,3.606065,0,Full year
2020,WPP712,418282,26.8936,3.328399,0,Full year
2020,WPP713,91361,18.0987,2.94962,0,Full year
2020,WPP714,19642,9.6611,2.366605,0,Full year
2020,WPP715,7750,5.8641,1.926305,0,Full year
2020,WPP716,16735,7.6481,2.157337,0,Full year
2020,WPP717,2884,3.1354,1.419587,0,Full year
2020,WPP718,109404,41.3965,3.747067,0,Full year
2021,ARMM,3,3.296,1.457692,0,Full year
2021,Region XI,1,5.2079,1.825816,0,Full year
2021,Region XII,3,3.9907,1.60757,0,Full year
2021,Unknown,2426,5.9402,1.937328,0,Full year
2021,WPP571,47478,14.6429,2.75002,0,Full year
2021,WPP572,49325,5.1634,1.818626,0,Full year
2021,WPP573,36808,6.3096,1.989193,0,Full year
2021,WPP711,147283,33.6167,3.544337,0,Full year
2021,WPP712,385501,25.312,3.270027,0,Full year
2021,WPP713,82102,15.9533,2.830463,0,Full year
2021,WPP714,21258,10.4996,2.442311,0,Full year
2021,WPP715,8427,3.805,1.569658,0,Full year
2021,WPP716,16352,9.0478,2.307356,0,Full year
2021,WPP717,2701,4.6303,1.728162,0,Full year
2021,WPP718,105631,40.1357,3.716876,0,Full year
2022,ARMM,7,2.8012,1.335314,0,Full year
2022,Region XII,2,4.6829,1.737463,0,Full year
2022,Unknown,1895,5.7062,1.903033,0,Full year
2022,WPP571,34897,14.3793,2.733022,0,Full year
2022,WPP572,32881,5.0426,1.798827,0,Full year
2022,WPP573,35553,6.8816,2.064537,0,Full year
2022,WPP711,131449,30.8961,3.462484,0,Full year
2022,WPP712,304358,21.2939,3.104312,0,Full year
2022,WPP713,65122,14.0503,2.7114,0,Full year
2022,WPP714,17157,10.4854,2.441079,0,Full year
2022,WPP715,8232,4.761,1.751104,0,Full year
2022,WPP716,13475,8.9448,2.29705,0,Full year
