Date,Year,Month,Day,Lat_DNB,Lon_DNB,Rad_DNB,QF_Detect,WPP_RI
2024-01-01,2024.0,1.0,1.0,1.4171739493308189,108.48271493430116,7.8636208693234275,1,711
2024-01-01,2024.0,1.0,1.0,0.9998745790900144,106.72916376426797,3.373980825409684,1,711
2024-01-01,2024.0,1.0,1.0,3.754442364744264,105.21433408960972,0.5903260132103632,1,711
2024-01-01,2024.0,1.0,1.0,0.5038938292050716,109.19276354507876,24.57557302444265,1,Outside
2024-01-01,2024.0,1.0,1.0,0.535331526098587,107.5582658024414,0.4166626179916169,1,711
2024-01-01,2024.0,1.0,1.0,0.7333283160680771,106.49930485857628,18.5014977681388,1,711
2024-01-01,2024.0,1.0,1.0,3.4620728443102124,107.07117219206806,0.5378192487820427,1,711
2024-01-01,2024.0,1.0,1.0,0.8252579649263976,105.35262061843646,15.168438967534655,1,711
2024-01-01,2024.0,1.0,1.0,0.9883605700319192,106.02306884586686,6.063753815493309,1,711
2024-01-01,2024.0,1.0,1.0,0.671942605576092,106.97588455055634,12.30211443696512,1,711
2024-01-01,2024.0,1.0,1.0,2.058555380447055,107.81261142176992,3.970554479546143,1,711
2024-01-01,2024.0,1.0,1.0,5.347923138822793,105.42427227762764,7.761226885690704,1,Outside
2024-01-01,2024.0,1.0,1.0,3.4894998940554256,108.97413675213824,13.047176896347024,1,711
2024-01-01,2024.0,1.0,1.0,0.7261364445526903,105.47991431209572,2.267660434015434,1,711
2024-01-01,2024.0,1.0,1.0,2.2837666334679465,108.64368754575963,1.949014200671246,1,711
2024-01-01,2024.0,1.0,1.0,0.8727532183988541,108.5109849037702,21.9707316979366,1,711
2024-01-01,2024.0,1.0,1.0,0.527610585618012,105.49357840767088,8.74948388743063,1,711
2024-01-01,2024.0,1.0,1.0,4.356351733429729,108.14503584020494,0.6846463275689818,1,711
2024-01-01,2024.0,1.0,1.0,4.815517129377968,105.07934529762564,5.18150595856187,1,Outside
2024-01-01,2024.0,1.0,1.0,2.054911608578311,104.81779175143012,2.266571065920657,1,Outside
2024-01-01,2024.0,1.0,1.0,4.936063712881633,107.68778735677608,3.4953306668815487,1,711
2024-01-01,2024.0,1.0,1.0,4.108647605824366,124.44239676986258,1.6458387573096596,1,716
2024-01-01,2024.0,1.0,1.0,2.637705091792748,122.15912980567396,0.4287388699505686,1,716
2024-01-01,2024.0,1.0,1.0,2.071779905381633,122.95487287884646,3.8521858856709503,1,716
2024-01-01,2024.0,1.0,1.0,3.1992054565083654,122.73092165494472,1.434887110661624,1,716
2024-01-01,2024.0,1.0,1.0,4.902339195076289,123.36349453127794,5.195540982847421,1,Outside
2024-01-01,2024.0,1.0,1.0,4.518360384495573,124.60022413131402,1.3324773817931954,1,716
2024-01-01,2024.0,1.0,1.0,2.281489190384874,119.35461568290472,12.166563853316957,1,716
2024-01-01,2024.0,1.0,1.0,0.5026018849765791,123.03383084378952,2.473714164459849,1,Outside
2024-01-01,2024.0,1.0,1.0,3.1704470968772096,119.6525909720006,3.616291400529039,1,716
