year,month,wpp,detection_count,rad_mean,log_rad_mean,is_partial_year
2013,1,WPP711,2265,32.2216,3.5032,0
2013,1,WPP712,4712,29.1374,3.405768,0
2013,1,WPP713,3969,12.7384,2.620195,0
2013,1,WPP714,661,31.0475,3.467218,0
2013,1,WPP715,467,5.1386,1.814597,0
2013,1,WPP716,488,4.6821,1.737317,0
2013,1,WPP717,84,3.3901,1.479345,0
2013,1,WPP718,1248,18.1211,2.950793,0
2013,2,Unknown,37,3.0143,1.389857,0
2013,2,WPP571,988,4.6446,1.730701,0
2013,2,WPP572,2159,5.0765,1.804421,0
2013,2,WPP573,814,3.3021,1.4591,0
2013,2,WPP711,2624,45.8311,3.846549,0
2013,2,WPP712,14520,28.3789,3.380277,0
2013,2,WPP713,5371,14.1384,2.717232,0
2013,2,WPP714,856,20.849,3.084155,0
2013,2,WPP715,406,4.4116,1.68854,0
2013,2,WPP716,759,4.8373,1.764273,0
2013,2,WPP717,70,2.6507,1.294929,0
2013,2,WPP718,2351,26.0626,3.298153,0
2013,3,Unknown,45,6.6551,2.035378,0
2013,3,WPP571,2914,5.5501,1.879473,0
2013,3,WPP572,6485,5.2858,1.8383,0
2013,3,WPP573,1441,4.4248,1.690977,0
2013,3,WPP711,12197,47.5728,3.883063,0
2013,3,WPP712,20269,34.7155,3.575584,0
2013,3,WPP713,6529,14.4953,2.740537,0
2013,3,WPP714,809,30.0152,3.434478,0
2013,3,WPP715,472,4.1183,1.632818,0
2013,3,WPP716,1121,4.8386,1.764497,0
2013,3,WPP717,75,3.7818,1.564816,0
2013,3,WPP718,2126,25.3482,3.271401,0
2013,4,Unknown,35,4.577,1.718651,0
2013,4,WPP571,995,4.4227,1.690597,0
2013,4,WPP572,3646,5.4768,1.868231,0
2013,4,WPP573,1000,3.4391,1.49046,0
2013,4,WPP711,7654,43.7605,3.801326,0
2013,4,WPP712,19093,38.8027,3.683934,0
2013,4,WPP713,6267,15.1104,2.779464,0
2013,4,WPP714,916,24.7564,3.248682,0
2013,4,WPP715,328,3.9516,1.599718,0
2013,4,WPP716,875,5.6255,1.890931,0
2013,4,WPP717,61,2.8246,1.341449,0
2013,4,WPP718,1853,27.3166,3.34345,0
2013,5,Unknown,46,3.7039,1.548398,0
2013,5,WPP571,1596,5.5679,1.882191,0
2013,5,WPP572,5541,5.1458,1.815776,0
2013,5,WPP573,1333,2.7774,1.329034,0
2013,5,WPP711,10438,42.5259,3.773357,0
2013,5,WPP712,24441,42.1792,3.765358,0
2013,5,WPP713,6853,14.9757,2.771072,0
2013,5,WPP714,854,29.6391,3.422278,0
2013,5,WPP715,606,5.8168,1.919384,0
2013,5,WPP716,1035,5.9246,1.935076,0
2013,5,WPP717,454,5.0819,1.805321,0
2013,5,WPP718,1749,8.3776,2.238328,0
2013,6,Unknown,34,5.4577,1.86528,0
2013,6,WPP571,1091,4.1868,1.646114,0
2013,6,WPP572,4296,6.0821,1.957575,0
2013,6,WPP573,1098,3.6068,1.52754,0
2013,6,WPP711,11329,44.9766,3.828134,0
2013,6,WPP712,24066,43.2857,3.790661,0
2013,6,WPP713,7102,16.6773,2.872282,0
2013,6,WPP714,688,23.3921,3.194257,0
2013,6,WPP715,456,4.8492,1.766311,0
2013,6,WPP716,935,5.0509,1.800207,0
2013,6,WPP717,96,2.1821,1.157538,0
2013,6,WPP718,980,7.928,2.189189,0
2013,7,Unknown,33,2.8575,1.350014,0
2013,7,WPP571,1111,3.96,1.601402,0
2013,7,WPP572,4263,6.0648,1.95512,0
2013,7,WPP573,1429,2.5636,1.270764,0
2013,7,WPP711,10206,38.5209,3.676829,0
2013,7,WPP712,20984,36.8666,3.634069,0
2013,7,WPP713,5269,17.3491,2.909582,0
2013,7,WPP714,428,22.7698,3.168414,0
2013,7,WPP715,374,4.879,1.771394,0
2013,7,WPP716,1062,3.3846,1.478097,0
2013,7,WPP717,131,4.3797,1.682634,0
2013,7,WPP718,1649,15.0406,2.775121,0
2013,8,Unknown,43,4.15,1.638998,0
2013,8,WPP571,530,6.5969,2.027742,0
2013,8,WPP572,4059,5.852,1.924534,0
2013,8,WPP573,1308,3.1521,1.423623,0
2013,8,WPP711,9569,35.2473,3.590365,0
2013,8,WPP712,20405,50.6988,3.945435,0
2013,8,WPP713,5698,10.8064,2.46864,0
2013,8,WPP714,639,37.1605,3.641801,0
2013,8,WPP715,347,3.9267,1.594664,0
2013,8,WPP716,942,4.3714,1.681082,0
2013,8,WPP717,128,2.5908,1.278365,0
2013,8,WPP718,3029,22.0653,3.138331,0
2013,9,Unknown,81,15.2162,2.78601,0
2013,9,WPP571,570,5.2263,1.828783,0
2013,9,WPP572,4167,5.5105,1.873421,0
2013,9,WPP573,1546,3.1468,1.422337,0
2013,9,WPP711,10718,46.8631,3.868346,0
2013,9,WPP712,33699,44.2005,3.811109,0
2013,9,WPP713,9254,21.3289,3.10588,0
2013,9,WPP714,1114,40.2189,3.718897,0
2013,9,WPP715,455,5.3345,1.846006,0
2013,9,WPP716,1062,4.4026,1.686889,0
2013,9,WPP717,162,2.1772,1.156011,0
2013,9,WPP718,3232,37.7338,3.656712,0
2013,10,Unknown,56,7.5704,2.14832,0
2013,10,WPP571,721,4.4827,1.701602,0
2013,10,WPP572,3850,5.2775,1.836978,0
2013,10,WPP573,1559,3.2664,1.450771,0
2013,10,WPP711,14314,41.2723,3.744131,0
2013,10,WPP712,25348,39.3278,3.697041,0
2013,10,WPP713,7617,19.1974,3.005552,0
2013,10,WPP714,1108,43.1281,3.787097,0
2013,10,WPP715,349,5.4751,1.867959,0
2013,10,WPP716,760,4.1113,1.631449,0
2013,10,WPP717,70,3.3085,1.460598,0
2013,10,WPP718,2663,37.2755,3.644809,0
2013,11,Unknown,35,3.6612,1.539273,0
2013,11,WPP571,825,4.8986,1.774721,0
2013,11,WPP572,2257,5.9469,1.938292,0
2013,11,WPP573,1106,2.626,1.288119,0
2013,11,WPP711,10859,37.001,3.637613,0
2013,11,WPP712,19464,27.2233,3.340146,0
2013,11,WPP713,7569,17.5086,2.918235,0
2013,11,WPP714,1376,26.7504,3.323251,0
2013,11,WPP715,576,4.7476,1.748776,0
2013,11,WPP716,1339,4.7837,1.755039,0
2013,11,WPP717,128,2.9833,1.382121,0
2013,11,WPP718,2745,27.7013,3.356941,0
2013,12,Unknown,20,4.0671,1.622768,0
2013,12,WPP571,460,4.8956,1.774209,0
2013,12,WPP572,1794,5.244,1.831621,0
2013,12,WPP573,842,3.2616,1.449637,0
2013,12,WPP711,4871,31.2369,3.473111,0
2013,12,WPP712,13307,25.8257,3.289362,0
2013,12,WPP713,4728,14.5596,2.744677,0
2013,12,WPP714,1369,29.9635,3.43281,0
2013,12,WPP715,493,3.3346,1.46662,0
2013,12,WPP716,1247,6.6541,2.035245,0
2013,12,WPP717,109,2.1722,1.154423,0
2013,12,WPP718,2684,29.8233,3.428271,0
2014,1,Unknown,7,3.7114,1.549987,0
2014,1,WPP571,427,2.6505,1.294877,0
2014,1,WPP572,843,4.1253,1.634181,0
2014,1,WPP573,261,2.7078,1.310439,0
2014,1,WPP711,598,14.7693,2.758062,0
2014,1,WPP712,3063,32.9227,3.524085,0
2014,1,WPP713,1037,9.1092,2.313447,0
2014,1,WPP714,272,20.485,3.067355,0
2014,1,WPP715,99,4.7203,1.744016,0
2014,1,WPP716,195,3.1097,1.413354,0
2014,1,WPP717,21,2.6071,1.282899,0
2014,1,WPP718,966,22.5236,3.158003,0
2014,2,Unknown,15,4.2186,1.652239,0
2014,2,WPP571,1568,6.7432,2.046815,0
2014,2,WPP572,2662,5.0939,1.807281,0
2014,2,WPP573,596,3.1947,1.433816,0
2014,2,WPP711,3680,38.1785,3.668129,0
2014,2,WPP712,9986,27.9615,3.365966,0
2014,2,WPP713,4203,17.5509,2.920521,0
2014,2,WPP714,533,25.8466,3.29014,0
2014,2,WPP715,287,5.3241,1.844369,0
